OBJECTID,FID_ANP_Fed_ZN_ccl_V1_0,CLAVE,TIPO,,NOM_ANP,TIPO_POL,ANP & Zona Nucleo,NOM_POLIG,CAT_MANEJO,FEC_DECRET,ESTADO,MUNICIPIO,CAT_UICN,FUENTE,SUP_DECRE,HECTARES,SUPTER_CAL,SUPMAR_CAL,Ha_manu,FID_Concesiones_mineras_Agosto_2012,TITULO,IDENTICO,TITU_DERIV,TITULO_ANT,CLASE,EXPEDIENTE,AGENCIA,NOMBRELOTE,MUNICIPIO_1,ESTAMU,FECHA_SOL,SUPERFICIE,TITULAR,SUST1,SUST2,SUST3,SUST4,SUST5,SUST6,SUST7,SUST8,SUST9,EXPEDICION,VIGENCIA,ISLA,OBSERVA,CONDICION,TIPO_CAN,FECHA_OF,HECTAREAS,Inter_Has
1,1, ,Federal,,Mariposa Monarca,Zona Nucleo,Mariposa Monarca & Zona Nucleo Chincua-Campanario-Chivati,Zona Nucleo Chincua-Campanario-Chivati,RB,11/10/2000,Edo de Mexico y Michoacan,"Senguio, Angangueo, San José del Rincón, Ocampo y Zitácuaro",Ia,CONANP,9233.96253,9179.637,0,0,9179.63748713,123,231987, , ,231821,U-EXPLOT,9/6/28,54,UNIFICACION ANGANGUEO,ANGANGUEO,MICH.,05/22/2008,5943,"INDUSTRIAL MINERA MEXICO, S.A. DE C.V.",POT,TSP, , , , , , , ,05/28/2008,05/27/2058, , ,VIGENTE, , ,5947.97845205,546.297760601
2,1, ,Federal,,Mariposa Monarca,Zona Nucleo,Mariposa Monarca & Zona Nucleo Chincua-Campanario-Chivati,Zona Nucleo Chincua-Campanario-Chivati,RB,11/10/2000,Edo de Mexico y Michoacan,"Senguio, Angangueo, San José del Rincón, Ocampo y Zitácuaro",Ia,CONANP,9233.96253,9179.637,0,0,9179.63748713,361,228290, , , ,EXPLOR.,7765,54,DANIELA,ANGANGUEO,MICH.,01/27/2006,416.6000061035,"COMERCIALIZADORA SAGO IMPORT EXPORT, S.A. DE C.V.",Pb,Ag,Cu,Zn,Au,TSP, , , ,10/27/2006,10/26/2056, , ,VIGENTE, , ,413.96285028,204.9279401478
3,1, ,Federal,,Mariposa Monarca,Zona Nucleo,Mariposa Monarca & Zona Nucleo Chincua-Campanario-Chivati,Zona Nucleo Chincua-Campanario-Chivati,RB,11/10/2000,Edo de Mexico y Michoacan,"Senguio, Angangueo, San José del Rincón, Ocampo y Zitácuaro",Ia,CONANP,9233.96253,9179.637,0,0,9179.63748713,5527,225605, , ,204988,EXPLOT.,6/1/581,54,ANGANGUEO No. 8,ANGANGUEO,MICH.,06/10/2003,1624,"INDUSTRIAL MINERA MEXICO, S.A. DE C.V.",POT, , , , , , , , ,09/23/2005,09/22/2055, , ,VIGENTE, , ,1613.44469513,0.2787576063
4,1, ,Federal,,Mariposa Monarca,Zona Nucleo,Mariposa Monarca & Zona Nucleo Chincua-Campanario-Chivati,Zona Nucleo Chincua-Campanario-Chivati,RB,11/10/2000,Edo de Mexico y Michoacan,"Senguio, Angangueo, San José del Rincón, Ocampo y Zitácuaro",Ia,CONANP,9233.96253,9179.637,0,0,9179.63748713,15412,225250, , , ,EXPLOR.,7672,54,PARAKATA,ANGANGUEO,MICH.,03/09/2005,1441,"COMERCIALIZADORA SAGO IMPORT EXPORT, S.A. DE C.V.",Pb,Ag,Zn,Cu,Au,TSP, , , ,08/09/2005,08/08/2011, , ,VIGENTE, , ,1481.9166348,57.9996602941
5,1, ,Federal,,Mariposa Monarca,Zona Nucleo,Mariposa Monarca & Zona Nucleo Chincua-Campanario-Chivati,Zona Nucleo Chincua-Campanario-Chivati,RB,11/10/2000,Edo de Mexico y Michoacan,"Senguio, Angangueo, San José del Rincón, Ocampo y Zitácuaro",Ia,CONANP,9233.96253,9179.637,0,0,9179.63748713,30252,240095, , , ,EXPLOR.,8667,54,APORO,IRIMBO,MICH.,06/22/2011,18120,"EXPLORACIONES MINERAS PEÑOLES, S.A. DE C.V.",Au,Ag,Pb,Cu,Zn,TUN,Mo,TSP, ,04/13/2012,04/12/2062, , ,VIGENTE, , ,18160.3607625,164.4691099233
6,5, ,Federal,,El Vizcaino,Zona Nucleo,El Vizcaino & Zona Nucleo Desierto del Vizcaino,Zona Nucleo Desierto del Vizcaino,RB,11/30/1988,Baja California Sur,Mulegé,Ia,CONANP,307433.5,304991.953,0,0,304991.952962,13427,221090, , ,197749,EXPLOT.,4/2/48,2,GUERRERO NEGRO,ENSENADA,B.C.,07/23/2003,51270,"EXPORTADORA DE SAL, S.A. DE C.V.", , , , , , , , , ,11/19/2003,09/22/2043, , ,VIGENTE, , ,50975.2164348,1244.244490914
7,5, ,Federal,,El Vizcaino,Zona Nucleo,El Vizcaino & Zona Nucleo Desierto del Vizcaino,Zona Nucleo Desierto del Vizcaino,RB,11/30/1988,Baja California Sur,Mulegé,Ia,CONANP,307433.5,304991.953,0,0,304991.952962,13461,214451, , ,197901,EXPLOT.,4/1.3/1899,100,SAN IGNACIO,MULEGE,B.C.S,09/20/1999,52150,"EXPORTADORA DE SAL, S.A. DE C.V.",SAL, , , , , , , , ,09/06/2001,09/05/2051, , ,VIGENTE, , ,51785.1857968,768.1226082326
8,5, ,Federal,,El Vizcaino,Zona Nucleo,El Vizcaino & Zona Nucleo Desierto del Vizcaino,Zona Nucleo Desierto del Vizcaino,RB,11/30/1988,Baja California Sur,Mulegé,Ia,CONANP,307433.5,304991.953,0,0,304991.952962,14602,224179, , ,208440,EXPLOT.,4/1/2647,100,GUERRERO NEGRO I,MULEGE,B.C.S,09/30/2004,22700,"EXPORTADORA DE SAL, S.A. DE C.V.", , , , , , , , , ,04/20/2005,04/19/2055, , ,VIGENTE, , ,24486.1865138,1047.3909799992
9,6, ,Federal,,El Vizcaino,Zona Nucleo,El Vizcaino & Zona Nucleo Guerrero Negro,Zona Nucleo Guerrero Negro,RB,11/30/1988,Baja California Sur,Mulegé,Ia,CONANP,15265.75,15165.878,0,0,15165.8778643,13427,221090, , ,197749,EXPLOT.,4/2/48,2,GUERRERO NEGRO,ENSENADA,B.C.,07/23/2003,51270,"EXPORTADORA DE SAL, S.A. DE C.V.", , , , , , , , , ,11/19/2003,09/22/2043, , ,VIGENTE, , ,50975.2164348,505.163836217
10,6, ,Federal,,El Vizcaino,Zona Nucleo,El Vizcaino & Zona Nucleo Guerrero Negro,Zona Nucleo Guerrero Negro,RB,11/30/1988,Baja California Sur,Mulegé,Ia,CONANP,15265.75,15165.878,0,0,15165.8778643,14534,224289, , ,212438,EXPLOT.,4/1/2653,100,GUERRERO NEGRO II,MULEGE,B.C.S,11/29/2004,6485,"EXPORTADORA DE SAL, S.A. DE C.V.", , , , , , , , , ,04/22/2005,04/21/2055, , ,VIGENTE, , ,6451.31032355,876.3929689142
11,6, ,Federal,,El Vizcaino,Zona Nucleo,El Vizcaino & Zona Nucleo Guerrero Negro,Zona Nucleo Guerrero Negro,RB,11/30/1988,Baja California Sur,Mulegé,Ia,CONANP,15265.75,15165.878,0,0,15165.8778643,14602,224179, , ,208440,EXPLOT.,4/1/2647,100,GUERRERO NEGRO I,MULEGE,B.C.S,09/30/2004,22700,"EXPORTADORA DE SAL, S.A. DE C.V.", , , , , , , , , ,04/20/2005,04/19/2055, , ,VIGENTE, , ,24486.1865138,728.9208801923
12,18, ,Federal,,El Vizcaino,Zona Nucleo,El Vizcaino & Zona Nucleo Vertiente de California,Zona Nucleo Vertiente de California,RB,11/30/1988,Baja California Sur,Mulegé,Ia,CONANP,30679.625,30509.369,0,0,30509.3687951,26686,236713, , ,234882,R-EXPLOR,4/2/265,100,SAN GUILLERMO FRACC. I REDUCCION,MULEGE,B.C.S,07/05/2010,58130,"COMPAÑIA MINERA ZAPALINAME, S.A. DE  C.V.", ,POT, , , , , , , ,08/25/2010,09/07/2059, , ,VIGENTE, , ,59714.6224577,8797.7726068964
13,22, ,Federal,,La Encrucijada,Zona Nucleo,La Encrucijada & Intangible La Encrucijada,Intangible La Encrucijada,RB,6/6/1995,Chiapas,"Mapastepec, Acapetahua, Villa Comaltitlán y Huixtla",Ia,CONANP,28978.45375,30267.094,0,0,30267.094491,26474,236283, , , ,EXPLOR.,219,109,AMPLIACION ARENA NEGRA,PIJIJIAPAN,CHIS.,11/18/2009,281300,"BLACKFIRE EXPLORATION MEXICO, S. DE R.L. DE C.V.",MAT,TSP, , , , , , , ,06/03/2010,06/02/2060, , ,VIGENTE, , ,284181.396623,119.918868175
14,22, ,Federal,,La Encrucijada,Zona Nucleo,La Encrucijada & Intangible La Encrucijada,Intangible La Encrucijada,RB,6/6/1995,Chiapas,"Mapastepec, Acapetahua, Villa Comaltitlán y Huixtla",Ia,CONANP,28978.45375,30267.094,0,0,30267.094491,29567,239220, , , ,EXPLOR.,242,109,HIERRO REINA F-5,ACAPETAHUA,CHIS.,02/09/2011,60270,JORGE JIMENEZ ARANA,MAT,Ti,TSP, , , , , , ,12/08/2011,12/07/2061, , ,VIGENTE, , ,60917.6109758,50.3810654789
