cve_edo,Municipio,PD1,PD2,PD3,Total
1,AGUASCALIENTES,12,11,77,100
1,ASIENTOS,1,4,3,8
1,CALVILLO,4,3,5,12
1,COSIO,2,2,6,10
1,JESUS MARIA,1,10,5,16
1,PABELLON DE ARTEAGA,5,161,55,221
1,RINCON DE ROMOS,2,11,3,16
1,SAN JOSE DE GRACIA,0,2,2,4
1,TEPEZALA,1,0,3,4
1,EL LLANO,0,1,2,3
1,SAN FRANCISCO DE LOS ROMO,3,5,13,21
2,ENSENADA,12,36,85,133
2,MEXICALI,525,408,660,1593
2,TECATE,0,3,1,4
2,TIJUANA,0,0,6,6
2,PLAYAS DE ROSARITO,0,0,1,1
3,LOS CABOS,8,27,44,79
3,COMONDU,23,64,38,125
3,MULEGE,16,9,11,36
3,LA PAZ,11,22,39,72
3,LORETO,1,9,7,17
4,CALKINI,111,14,6,131
4,CAMPECHE,36,37,63,136
4,CARMEN,26,13,22,61
4,CHAMPOTON,24,16,52,92
4,ESCARCEGA,37,59,4,100
4,HECELCHAKAN,16,18,7,41
4,CANDELARIA,34,8,3,45
4,HOPELCHEN,49,112,76,237
4,PALIZADA,2,25,36,63
4,CALAKMUL,3,2,0,5
4,TENABO,17,4,0,21
7,ACALA,20,29,1,50
7,ACAPETAHUA,1,0,3,4
7,ARRIAGA,34,63,3,100
7,BELLA VISTA,1,0,0,1
7,BERRIOZABAL,1,10,0,11
7,BOCHIL,6,3,0,9
7,EL BOSQUE,5,0,0,5
7,CACAHOATAN,0,1,1,2
7,CATAZAJA,1,2,1,4
7,CHAPULTENANGO,1,0,0,1
7,CHENALHO,5,0,0,5
7,CHIAPA DE CORZO,243,174,5,422
7,CHIAPILLA,0,3,0,3
7,CHICOASEN,0,2,0,2
7,CHICOMUSELO,1,1,0,2
7,CHILON,3,0,0,3
7,CINTALAPA,96,41,9,146
7,COAPILLA,1,0,0,1
7,COMITAN DE DOMINGUEZ,104,40,5,149
7,LA CONCORDIA,62,45,17,124
7,COPAINALA,0,2,0,2
7,ESCUINTLA,7,1,1,9
7,FRANCISCO LEON,1,0,0,1
7,FRONTERA COMALAPA,39,22,6,67
7,HUEHUETAN,0,1,2,3
7,HUIXTLA,95,25,4,124
7,LA INDEPENDENCIA,2,0,0,2
7,IXTAPA,17,8,0,25
7,JIQUIPILAS,21,6,5,32
7,JITOTOL,8,0,0,8
7,JUAREZ,2,7,10,19
7,LARRAINZAR,1,0,0,1
7,LA LIBERTAD,0,1,0,1
7,MAPASTEPEC,108,37,4,149
7,LAS MARGARITAS,6,1,0,7
7,MAZATAN,5,1,5,11
7,MOTOZINTLA,9,0,1,10
7,OCOSINGO,48,3,0,51
7,OCOZOCOAUTLA DE ESPINOSA,25,10,1,36
7,OXCHUC,1,0,0,1
7,PALENQUE,16,18,2,36
7,PICHUCALCO,4,3,0,7
7,PIJIJIAPAN,26,18,1,45
7,VILLA COMALTITLAN,1,0,5,6
7,PUEBLO NUEVO SOLISTAHUACAN,6,4,0,10
7,RAYON,0,2,0,2
7,REFORMA,0,5,1,6
7,LAS ROSAS,1,0,0,1
7,SALTO DE AGUA,0,2,0,2
7,SAN CRISTOBAL DE LAS CASAS,4,0,1,5
7,SAN FERNANDO,7,9,0,16
7,SILTEPEC,10,0,0,10
7,SIMOJOVEL,21,4,0,25
7,SOCOLTENANGO,12,3,1,16
7,SOYALO,2,5,0,7
7,SUCHIAPA,10,14,1,25
7,SUCHIATE,1,3,2,6
7,TAPACHULA,26,4,56,86
7,TAPILULA,2,2,0,4
7,TECPATAN,7,4,0,11
7,TEOPISCA,1,1,0,2
7,TILA,1,3,0,4
7,TONALA,201,197,22,420
7,TOTOLAPA,9,10,0,19
7,LA TRINITARIA,2,1,1,4
7,TUXTLA GUTIERREZ,78,86,34,198
7,TUXTLA CHICO,0,1,0,1
7,TZIMOL,1,1,0,2
7,VENUSTIANO CARRANZA,43,33,1,77
7,ANGEL ALBINO CORZO,27,25,2,54
7,VILLAFLORES,391,298,23,712
7,YAJALON,2,9,0,11
7,SAN LUCAS,2,1,0,3
7,BENEMERITO DE LAS AMERICAS,3,0,2,5
7,MARQUES DE COMILLAS,7,1,0,8
7,VILLA CORZO,97,94,3,194
8, ALDAMA,1,0,12,13
8, ALLENDE,0,1,4,5
8, ASCENSION,12,8,4,24
8, BACHINIVA,0,0,2,2
8, BALLEZA,5,2,2,9
8, BATOPILAS,2,0,0,2
8, BUENAVENTURA,2,63,87,152
8, CAMARGO,6,4,46,56
8, CARICHI,1,0,1,2
8, CASAS GRANDES,0,0,10,10
8, CHIHUAHUA,16,1,86,103
8, COYAME DEL SOTOL,1,1,2,4
8, LA CRUZ,4,0,4,8
8, CUAUHTEMOC,13,152,204,369
8, CUSIHUIRIACHI,0,0,4,4
8, DELICIAS,5,21,113,139
8, GALEANA,1,2,2,5
8, GOMEZ FARIAS,0,0,1,1
8, GUACHOCHI,14,12,7,33
8, GUADALUPE,0,0,1,1
8, GUADALUPE Y CALVO,9,2,4,15
8, GUAZAPARES,2,0,0,2
8, GUERRERO,4,2,9,15
8, HIDALGO DEL PARRAL,0,2,35,37
8, JANOS,2,2,9,13
8, JIMENEZ,0,13,25,38
8, JUAREZ,1,1,54,56
8, JULIMES,3,4,7,14
8, MADERA,1,1,3,5
8, MANUEL BENAVIDES,0,0,1,1
8, MEOQUI,5,16,34,55
8, NAMIQUIPA,2,17,47,66
8, NUEVO CASAS GRANDES,1,4,7,12
8, OJINAGA,0,10,56,66
8, PRAXEDIS G. GUERRERO,0,1,1,2
8, RIVA PALACIO,0,1,4,5
8, ROSALES,3,4,7,14
8, ROSARIO,0,1,0,1
8, SAN FRANCISCO DE BORJA,0,0,1,1
8, SAN FRANCISCO DE CONCHOS,1,2,13,16
8, SANTA BARBARA,1,1,0,2
8, SATEVO,0,1,7,8
8, SAUCILLO,3,5,24,32
8, EL TULE,0,2,3,5
8, URUACHI,2,0,0,2
8, AHUMADA,1,9,76,86
8, CORONADO,0,5,8,13
8, LOPEZ,1,1,15,17
8, MATAMOROS,1,0,2,3
8, VALLE DE ZARAGOZA,0,0,7,7
5, ACUÑA,0,1,1,2
5, ARTEAGA,1,1,11,13
5, CUATRO CIENEGAS,0,4,6,10
5, FRANCISCO I. MADERO,2,17,29,48
5, GENERAL CEPEDA,2,6,3,11
5, HIDALGO,0,4,0,4
5, JIMENEZ,2,0,0,2
5, LAMADRID,0,1,0,1
5, MATAMOROS,11,23,36,70
5, MONCLOVA,0,0,2,2
5, MUZQUIZ,0,1,1,2
5, NADADORES,0,1,0,1
5, NAVA,0,1,1,2
5, OCAMPO,0,4,1,5
5, PARRAS,18,2,4,24
5, RAMOS ARIZPE,1,2,11,14
5, SABINAS,0,8,2,10
5, SALTILLO,7,15,70,92
5, SAN BUENAVENTURA,0,1,4,5
5, SAN JUAN DE SABINAS,0,4,1,5
5, SAN PEDRO,9,27,40,76
5, TORREON,10,12,161,183
5, VIESCA,1,8,7,16
5, FRONTERA,0,0,3,3
6, ARMERIA,14,5,1,20
6, COLIMA,35,48,116,199
6, COMALA,6,7,0,13
6, COQUIMATLAN,10,7,0,17
6, CUAUHTEMOC,116,76,38,230
6, IXTLAHUACAN,3,0,0,3
6, MANZANILLO,9,4,15,28
6, MINATITLAN,1,2,1,4
6, TECOMAN,15,20,56,91
6, VILLA DE ALVAREZ,3,7,11,21
9, AZCAPOTZALCO,0,0,21,21
9, MIGUEL HIDALGO,0,0,40,40
9, COYOACAN,0,0,10,10
9, CUAJIMALPA DE MORELOS,0,0,24,24
9, GUSTAVO A. MADERO,0,5,6,11
9, IZTAPALAPA,1,0,113,114
9, CUAUHTEMOC,0,0,7,7
9, MILPA ALTA,0,5,0,5
9, ALVARO OBREGON,0,0,73,73
9, BENITO JUAREZ,0,0,65,65
9, TLALPAN,0,1,16,17
9, XOCHIMILCO,1,0,0,1
10, CANATLAN,0,11,5,16
10, CANELAS,2,0,3,5
10, CONETO DE COMONFORT,0,1,0,1
10, CUENCAME,4,15,14,33
10, DURANGO,30,54,131,215
10, GENERAL SIMON BOLIVAR,1,4,2,7
10, GOMEZ PALACIO,7,21,120,148
10, GUADALUPE VICTORIA,14,104,36,154
10, GUANACEVI,9,7,1,17
10, HIDALGO,0,3,3,6
10, INDE,0,3,4,7
10, LERDO,18,8,40,66
10, MAPIMI,4,8,19,31
10, MEZQUITAL,0,2,0,2
10, NAZAS,3,2,7,12
10, NOMBRE DE DIOS,1,11,7,19
10, OCAMPO,4,4,5,13
10, EL ORO,2,1,1,4
10, OTAEZ,4,0,0,4
10, PANUCO DE CORONADO,3,6,6,15
10, PEÑON BLANCO,1,13,2,16
10, POANAS,7,11,4,22
10, PUEBLO NUEVO,1,0,0,1
10, RODEO,0,1,7,8
10, SAN DIMAS,19,3,0,22
10, SAN JUAN DE GUADALUPE,1,0,0,1
10, SAN JUAN DEL RIO,0,1,4,5
10, SAN PEDRO DEL GALLO,1,1,2,4
10, SANTA CLARA,1,0,1,2
10, SANTIAGO PAPASQUIARO,43,3,22,68
10, SUCHIL,0,2,1,3
10, TAMAZULA,4,1,0,5
10, TEPEHUANES,1,8,7,16
10, TLAHUALILO,0,5,13,18
10, TOPIA,1,0,0,1
10, NUEVO IDEAL,5,6,4,15
10, VICENTE GUERRERO,12,6,3,21
11, ABASOLO,40,52,55,147
11, ACAMBARO,12,46,36,94
11, SAN MIGUEL DE ALLENDE,0,15,5,20
11, APASEO EL ALTO,23,10,2,35
11, APASEO EL GRANDE,5,7,8,20
11, MANUEL DOBLADO,27,22,11,60
11, CELAYA,28,117,174,319
11, COMONFORT,8,13,6,27
11, CORONEO,5,1,0,6
11, CORTAZAR,8,10,37,55
11, CUERAMARO,2,1,3,6
11, DOLORES HIDALGO,7,7,22,36
11, DOCTOR MORA,0,0,1,1
11, GUANAJUATO,0,3,1,4
11, HUANIMARO,31,21,4,56
11, IRAPUATO,31,57,258,346
11, JARAL DEL PROGRESO,16,22,26,64
11, JERECUARO,0,0,2,2
11, LEON,33,9,165,207
11, MOROLEON,1,0,9,10
11, OCAMPO,5,7,1,13
11, PENJAMO,58,238,218,514
11, PUEBLO NUEVO,3,16,15,34
11, PURISIMA DEL RINCON,13,20,222,255
11, ROMITA,21,16,11,48
11, SAN DIEGO DE LA UNION,0,0,1,1
11, SAN FRANCISCO DEL RINCON,12,4,10,26
11, SAN JOSE ITURBIDE,6,1,5,12
