CLAVE,CAT_MANEJO,NOM_ANP,TIPO_POL,NOM_POLIG,FEC_DECRET,ESTADO,MUNICIPIO,CAT_UICN,FUENTE,SUP_DECRE,HECTARES,SUPTER_CAL,SUPMAR_CAL,Has_Ramsar,FID_Concesiones_mineras_Agosto_2012,TITULO,IDENTICO,TITU_DERIV,TITULO_ANT,CLASE,EXPEDIENTE,AGENCIA,NOMBRELOTE,MUNICIPIO_1,ESTAMU,FECHA_SOL,SUPERFICIE,TITULAR,SUST1,SUST2,SUST3,SUST4,SUST5,SUST6,SUST7,SUST8,SUST9,EXPEDICION,VIGENCIA,ISLA,OBSERVA,CONDICION,TIPO_CAN,FECHA_OF,HECTAREAS
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,1330,232656,,,,EXPLOR.,263,102,EL CAYACAL,MINATITLAN,COL.,12/11/2007,26140,"LAS ENCINAS, S.A. DE C.V.",Fe,TSP,,,,,,,,10/02/2008,10/01/2058,,,VIGENTE,,,26011.3375178
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,1383,232324,,,,EXPLOR.,239,102,LA SANTA CRUZ,MANZANILLO,COL.,05/15/2007,1404,MARIANO MANUEL DE LA GARZA OROZCO,SAL,,,,,,,,,07/18/2008,07/17/2058,,,VIGENTE,,,1397.67401995
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,1488,230322,,,,EXPLOR.,227,102,SAN BUENAVENTURA 2,MANZANILLO,COL.,02/06/2007,9.995,JUAN JOSE DELGADO MAGAÑA,SAL,,,,,,,,,08/14/2007,08/13/2057,,,VIGENTE,,,9.9476281974
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,1637,226710,,,,EXPLOR.,171,102,MARIANA,MANZANILLO,COL.,09/29/2005,11.88,MARIA MERCEDES LOMELI VAZQUEZ,SAL,,,,,,,,,02/17/2006,02/16/2056,,,VIGENTE,,,11.8194102207
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,10548,218885,,,198202,EXPLOT.,3/1.3/431,102,EL PROGRESO 1,MANZANILLO,COL.,11/08/1999,92,ALFONSO VIRGEN CENTENO,SAL,,,,,,,,,01/23/2003,01/22/2053,,,VIGENTE,,,91.5704234757
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,10564,216633,,,199825,EXPLOT.,3/1.3/439,42,SALINAS EL CIRUELO,MANZANILLO,COL.,12/16/1999,780.1,"SOCIEDAD COOPERATIVA DE SAL DE VILLA DE ALVAREZ, S.C.L.",SAL,,,,,,,,,05/17/2002,05/16/2052,,,VIGENTE,,,776.454144218
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,10577,211433,,,199696,EXPLOT.,3/1.3/437,42,EL VENADO DOS,MANZANILLO,COL.,11/29/1999,92,"SAL BLANCA DE COLIMA, S.A. DE C.V.",SAL,,,,,,,,,05/23/2000,05/22/2050,,,VIGENTE,,,91.5638470351
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,10624,212216,,,199256,EXPLOT.,3/1.3/449,42,T. SAL,ARMERIA,COL.,03/28/2000,3841,"SOCIEDAD COOPERATIVA DE SALINEROS DE COLIMA, S.C.L.",SAL,,,,,,,,,09/22/2000,09/21/2050,,,VIGENTE,,,3823.26674164
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,10627,197096,,,191981,EXPLOT.,321.4/5930,42,SAN BUENAVENTURA,MANZANILLO,COL.,09/25/1992,369,ENRIQUE MAGAÑA IGLESIAS Y SOCS.,SAL,,,,,,,,,08/27/1993,12/18/2041,,,VIGENTE,,,367.265168716
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,19840,220897,,,,EXPLOR.,130,102,LOS LAURELES,MANZANILLO,COL.,01/27/2003,91,MOISES MARTINEZ RODRIGUEZ,SAL,,,,,,,,,10/24/2003,10/23/2009,,,VIGENTE,,,88.0125836434
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,19841,220898,,,,EXPLOR.,131,102,REAL DE COLIMA,MANZANILLO,COL.,03/13/2003,82.83,MOISES MARTINEZ RODRIGUEZ Y SOCIOS,SAL,,,,,,,,,10/24/2003,10/23/2009,,,VIGENTE,,,82.4420589573
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,19875,216449,,,,EXPLOR.,114,102,EL VENADO 3,MANZANILLO,COL.,11/06/2001,101.7,"SAL DE ORO, S.A. DE C.V.",SAL,,,,,,,,,05/17/2002,05/16/2008,,,VIGENTE,,,101.234905559
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,19878,216490,,,,EXPLOR.,120,102,PROGRESO DOS,MANZANILLO,COL.,02/08/2002,88.89,"SAL DE ORO, S.A. DE C.V.",SAL,,,,,,,,,05/17/2002,05/16/2008,,,VIGENTE,,,88.4748687303
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,19880,216150,,,,EXPLOR.,108,102,EL SALERO TRES,MANZANILLO,COL.,05/11/2001,29.63,ALBERTO GUTIERREZ ANDRADE,SAL,,,,,,,,,04/12/2002,04/11/2008,,,VIGENTE,,,29.4865584992
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,19881,216010,,,,EXPLOR.,115,102,EL PROGRESO,MANZANILLO,COL.,11/06/2001,98,"SAL DE ORO, S.A. DE C.V.",SAL,,,,,,,,,04/02/2002,04/01/2008,,,VIGENTE,,,97.5429785644
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,19883,215789,,,,EXPLOR.,0109,102,COSTA CHICA,MANZANILLO,COL.,05/11/2001,46.04,RAMON AVALOS GONZALEZ,SAL,,,,,,,,,03/19/2002,03/18/2008,,,VIGENTE,,,45.8251808052
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,19901,214407,,,,EXPLOR.,0101,102,EL VENADO,MANZANILLO,COL.,01/08/2001,96,"SAL DE ORO, S.A. DE C.V.",SAL,,,,,,,,,09/06/2001,09/05/2007,,,VIGENTE,,,95.5471085191
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,19952,200302,,,,EXPLOR.,4053,42,COSTA RICA,MANZANILLO,COL.,07/22/1993,88.73,JESUS VEGA RUIZ,SAL,,,,,,,,,07/29/1994,07/28/2000,,,VIGENTE,,,88.3144960422
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,24719,234649,,,,EXPLOR.,352,102,MARIANA II,MANZANILLO,COL.,09/01/2008,22.48,MARIA MERCEDES LOMELI VAZQUEZ,SAL,,,,,,,,,07/24/2009,07/23/2059,,,VIGENTE,,,22.3742269171
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,26376,236360,,,,EXPLOR.,387,102,MANZANILLO 1 FRACC.  I,MANZANILLO,COL.,07/30/2009,1249,"MINGLI INTERNATIONAL GROUP, S. DE R.L. DE C.V.",Au,Ag,Fe,Cu,TSP,,,,,06/16/2010,06/15/2060,,,VIGENTE,,,1243.56007511
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,26383,236367,,,,EXPLOR.,387,102,MANZANILLO 1 FRACC. VIII,MANZANILLO,COL.,07/30/2009,1148,"MINGLI INTERNATIONAL GROUP, S. DE R.L. DE C.V.",Au,Ag,Fe,Cu,TSP,,,,,06/16/2010,06/15/2060,,,VIGENTE,,,1143.01917993
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,26421,236449,,,,EXPLOR.,309,102,JULIA  FRACCION  I,MANZANILLO,COL.,04/22/2008,4853,VICTOR ENRIQUE GARCIA DIAZ,Au,Ag,Cu,Fe,TSP,,,,,06/30/2010,06/29/2060,,,VIGENTE,,,4829.68809384
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,26974,236927,,,,EXPLOR.,385,102,ORGANOS,MANZANILLO,COL.,04/16/2009,425,PLACIDO FELIPE ANTONIO CARDENAS NUÑEZ Y SOCIOS,Au,Ag,Cu,Fe,TSP,,,,,10/05/2010,10/04/2060,,,VIGENTE,,,422.965228732
