NOMBRE,CAT_DECRET,CAT_MANEJO,ULT_DECRET,ESTADOS,MUNICIPIOS,REGION,ID_ANP,SUPERFICIE,S_TERRES,S_MARINA,TITULO,IDENTICO,TITU_DERIV,TITULO_ANT,CLASE,EXPEDIENTE,AGENCIA,NOMBRELOTE,MUNICIPIO,ESTAMU,FECHA_SOL,SUPERFICIE_1,TITULAR,SUST1,SUST2,SUST3,SUST4,SUST5,SUST6,SUST7,SUST8,SUST9,EXPEDICION,VIGENCIA,ISLA,OBSERVA,CONDICION,TIPO_CAN,FECHA_OF,Superficie total de concesión,Superficie intersección ANP
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,229408, , , ,EXPLOR.,30893,82,MARIA DEL CARMEN,PUERTO PEÑASCO,SON.,02/12/2007,138,FRANCISCO ISRAEL QUIJADA IBARRA Y SOCIOS,POT,TRO,TSP, , , , , , ,04/17/2007,04/16/2057, , ,VIGENTE, , ,139.352862004,77.346291954
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,227280, , , ,EXPLOR.,30194,82,CARLOS,PUERTO PEÑASCO,SON.,01/27/2006,20,CARLOS ALBERTO SANDOVAL OSEGUERA,TRO,TSP, , , , , , , ,06/02/2006,06/01/2056, , ,VIGENTE, , ,20.1888333474,0.5250463675
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,220977, , ,205449,EXPLOT.,4/1/2518,78,SALINAS DE ADAIR,PUERTO PEÑASCO,SON.,08/15/2003,1000,"INDUSTRIA DEL ALCALI, S.A. DE C.V.",CAS, , , , , , , , ,11/11/2003,11/10/2053, , ,VIGENTE, , ,1009.32058003,1007.7217039684
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,218373, , ,198419,EXPLOT.,4/1.3/1952,82,PINACATE I,PUERTO PEÑASCO,SON.,11/19/1999,439.5,RAMON CASTAÑARES GARCIA, , , , , , , , , ,11/05/2002,11/04/2052, , ,VIGENTE, , ,443.64132029,146.1440971464
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,218374, , ,198420,EXPLOT.,4/1.3/1953,82,PINACATE 3,PUERTO PEÑASCO,SON.,11/19/1999,97.7399978638,RAMON CASTAÑARES GARCIA, , , , , , , , , ,11/05/2002,11/04/2052, , ,VIGENTE, , ,98.6193608,68.0101664144
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,218284, , ,198421,EXPLOT.,4/1.3/1954,78,PINACATE 4,PUERTO PEÑASCO,SON.,11/19/1999,482.5,RAMON CASTAÑARES GARCIA,TRO, , , , , , , , ,10/17/2002,10/16/2052, , ,VIGENTE, , ,486.803495218,448.6352442176
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,218285, , ,198422,EXPLOT.,4/1.3/1955,78,PINACATE 7,PUERTO PEÑASCO,SON.,11/19/1999,428,RAMON CASTAÑARES GARCIA,TRO, , , , , , , , ,10/17/2002,10/16/2052, , ,VIGENTE, , ,431.687254337,29.1755929359
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,218286, , ,198423,EXPLOT.,4/1.3/1956,78,PINACATE 8,PUERTO PEÑASCO,SON.,11/19/1999,440.299987793,RAMON CASTAÑARES GARCIA,TRO, , , , , , , , ,10/17/2002,10/16/2052, , ,VIGENTE, , ,444.474057656,439.3888633187
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,218287, , ,198424,EXPLOT.,4/1.3/1957,78,PINACATE 9,PUERTO PEÑASCO,SON.,11/19/1999,271.700012207,RAMON CASTAÑARES GARCIA,TRO, , , , , , , , ,10/17/2002,10/16/2052, , ,VIGENTE, , ,274.254142145,230.0213426733
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,215565, , ,202103,EXPLOT.,4/1.3/2296,82,PINACATE 6,PUERTO PEÑASCO,SON.,08/24/2001,412.700012207,RAMON CASTAÑARES GARCIA,TRO, , , , , , , , ,03/05/2002,03/04/2052, , ,VIGENTE, , ,416.379959566,253.1299612157
