CLIENTE,EDO,FOLIO,PRODUCTO,TONS,MONTO,
molinera de méxico sa de cv,sonora,260590013,trigo,2585,928270.25,PUT
molinera de méxico sa de cv,sonora,260590013,trigo,272,97712.66,PUT
molinera de mexico sa de cv,sonora,260590021,trigo,26399,11652808.39,PUT
molinera de mexico sa de cv,sonora,260590039,trigo,7484,3879062.19,PUT
agricola pasani,sonora,260590047,trigo,2585,857275.52,CALL
agricola pasani,sonora,260590047,trigo,136,45119.76,CALL
agricola pasani,sonora,260590047,trigo,136,45119.76,CALL
agricola tesia spr de rl,sonora,260590054,trigo,3810,1263353.4,CALL
agricola tesia spr de rl,sonora,260590054,trigo,3674,1218233.64,CALL
agricola tesia spr de rl,sonora,260590054,trigo,2722,902395.29,CALL
agricola tesia spr de rl,sonora,260590062,trigo,3538,1173113.87,CALL
agricola tesia spr de rl,sonora,260590062,trigo,2585,857275.52,CALL
agricola tesia spr de rl,sonora,260590062,trigo,5715,1895030.1,CALL
agricola tesia spr de rl,sonora,260590062,trigo,4354,1443832.46,CALL
agricola santa edith sa de cv,sonora,260590070,trigo,4082,1353592.93,CALL
agricola santa edith sa de cv,sonora,260590070,trigo,3402,1127994.11,CALL
grupo altex sa de cv,sonora,260590088,trigo,2041,665586.77,PUT
grupo altex sa de cv,sonora,260590088,trigo,8165,2662347.09,PUT
grupo altex sa de cv,sonora,260590088,trigo,3810,1242428.64,PUT
grupo altex sa de cv,sonora,260590096,trigo,13063,5228272.87,PUT
grupo altex sa de cv,sonora,260590104,trigo,7484,3714653.34,PUT
lauro felipe parada almada,sonora,260590112,trigo,136,54834.83,CALL
carballo savala rosa esthela,sonora,260590120,trigo,136,54834.83,CALL
maria rita islas beltran,sonora,260590138,trigo,136,54834.83,CALL
pablo ernesto rojas cruz,sonora,260590146,trigo,136,54834.83,CALL
gabriela valenzuela dominguez,sonora,260590153,trigo,136,54834.83,CALL
isidro garcia valenzuela,sonora,260590161,trigo,136,54834.83,CALL
francisco cruz briceño,sonora,260590179,trigo,136,54834.83,CALL
alberto cruz romero,sonora,260590187,trigo,136,54834.83,CALL
alberto cruz romero,sonora,260590187,trigo,136,54834.83,CALL
alejandro valenzuela obregon,sonora,260590195,trigo,136,54834.83,CALL
alejandro valenzuela obregon,sonora,260590195,trigo,136,54834.83,CALL
pedro molina alcala,sonora,260590203,trigo,136,54834.83,CALL
pedro molina alcala,sonora,260590203,trigo,136,54834.83,CALL
miguel angel robles verduzco,sonora,260590211,trigo,136,54834.83,CALL
miguel angel robles verduzco,sonora,260590211,trigo,136,54834.83,CALL
karla elodia hull echeverria,sonora,260590229,trigo,136,54834.83,CALL
karla elodia hull echeverria,sonora,260590229,trigo,136,54834.83,CALL
enrique moreno gonzalez,sonora,260590237,trigo,272,109669.66,CALL
francisco javier ortega valenzuela,sonora,260590245,trigo,272,109669.66,CALL
porfirio morales valenzuela,sonora,260590252,trigo,272,109669.66,CALL
juan garcia valenzuela,sonora,260590260,trigo,136,54834.83,CALL
juan garcia valenzuela,sonora,260590260,trigo,136,54834.83,CALL
jose alfonso delgado obeso,sonora,260590278,trigo,272,109669.66,CALL
abel valenzuela zamorano,sonora,260590286,trigo,272,109669.66,CALL
dagoberto amarillas urias,sonora,260590294,trigo,272,109669.66,CALL
inocente leyva pacheco,sonora,260590302,trigo,272,109669.66,CALL
benito gil castillo,sonora,260590310,trigo,136,54834.83,CALL
benito gil castillo,sonora,260590310,trigo,136,54834.83,CALL
lucio cprral moroyoqui,sonora,260590328,trigo,136,54834.83,CALL
lucio cprral moroyoqui,sonora,260590328,trigo,136,54834.83,CALL
juan gabriel verdugo leyva,sonora,260590336,trigo,408,164504.5,CALL
ma del rosario spr de ri,sonora,260590344,trigo,408,164504.5,CALL
zobeidaserrano ortega,sonora,260590351,trigo,408,164504.5,CALL
zobeidaserrano ortega,sonora,260590351,trigo,136,54834.83,CALL
familia ruiz jocobi spr de ri,sonora,260590369,trigo,544,219339.33,CALL
elisa margarita avalos felix,sonora,260590377,trigo,544,219339.33,CALL
ribripesa spr de ri,sonora,260590385,trigo,544,219339.33,CALL
grupo ramirez zazueta spr de ri,sonora,260590393,trigo,408,164504.5,CALL
grupo ramirez zazueta spr de ri,sonora,260590393,trigo,136,54834.83,CALL
