cve_edo,Municipio,PD1,PD2,PD3,Total
1,AGUASCALIENTES,20,14,86,120
1,ASIENTOS,2,8,2,12
1,CALVILLO,0,7,7,14
1,COSIO,3,10,10,23
1,JESUS MARIA,2,16,18,36
1,PABELLON DE ARTEAGA,27,68,96,191
1,RINCON DE ROMOS,5,48,35,88
1,SAN JOSE DE GRACIA,7,16,9,32
1,TEPEZALA,3,31,20,54
1,EL LLANO,1,3,3,7
1,SAN FRANCISCO DE LOS ROMO,12,49,43,104
2,ENSENADA,7,17,90,114
2,MEXICALI,637,634,930,2201
2,TECATE,0,1,6,7
2,TIJUANA,0,1,8,9
3,LOS CABOS,3,19,39,61
3,COMONDU,27,106,65,198
3,MULEGE,33,15,12,60
3,LA PAZ,0,9,25,34
3,LORETO,0,11,6,17
4,CALKINI,136,12,3,151
4,CAMPECHE,30,26,57,113
4,CARMEN,9,11,22,42
4,CHAMPOTON,23,23,29,75
4,ESCARCEGA,141,10,2,153
4,HECELCHAKAN,18,10,9,37
4,CANDELARIA,8,7,2,17
4,HOPELCHEN,23,87,90,200
4,PALIZADA,7,25,33,65
4,CALAKMUL,11,1,0,12
4,TENABO,8,2,5,15
7,ACACOYAGUA,3,0,0,3
7,ACALA,14,10,0,24
7,ACAPETAHUA,3,1,0,4
7,ARRIAGA,17,21,0,38
7,BERRIOZABAL,7,3,2,12
7,BOCHIL,3,4,0,7
7,EL BOSQUE,5,0,0,5
7,CACAHOATAN,0,1,0,1
7,CATAZAJA,2,0,0,2
7,CHENALHO,4,0,0,4
7,CHIAPA DE CORZO,205,73,5,283
7,CHIAPILLA,2,2,0,4
7,CHICOASEN,0,1,0,1
7,CHICOMUSELO,0,0,2,2
7,CHILON,3,0,0,3
7,CINTALAPA,98,28,7,133
7,COMITAN DE DOMINGUEZ,129,29,1,159
7,LA CONCORDIA,63,16,12,91
7,COPAINALA,0,1,0,1
7,ESCUINTLA,3,0,0,3
7,FRANCISCO LEON,1,0,0,1
7,FRONTERA COMALAPA,10,2,1,13
7,HUEHUETAN,2,1,4,7
7,HUITIUPAN,0,1,0,1
7,HUIXTLA,136,25,3,164
7,LA INDEPENDENCIA,6,1,0,7
7,IXTAPA,11,1,1,13
7,JIQUIPILAS,9,6,6,21
7,JITOTOL,7,1,0,8
7,JUAREZ,1,3,1,5
7,LARRAINZAR,3,0,0,3
7,LA LIBERTAD,1,0,1,2
7,MAPASTEPEC,127,28,0,155
7,LAS MARGARITAS,1,0,0,1
7,MAZATAN,11,5,5,21
7,MOTOZINTLA,13,1,0,14
7,NICOLAS RUIZ,1,0,0,1
7,OCOSINGO,14,2,0,16
7,OCOZOCOAUTLA DE ESPINOSA,16,10,4,30
7,PALENQUE,14,18,0,32
7,PICHUCALCO,2,2,0,4
7,PIJIJIAPAN,12,16,3,31
7,VILLA COMALTITLAN,3,0,2,5
7,PUEBLO NUEVO SOLISTAHUACAN,1,0,0,1
7,REFORMA,0,2,0,2
7,SALTO DE AGUA,0,2,0,2
7,SAN CRISTOBAL DE LAS CASAS,5,3,5,13
7,SAN FERNANDO,9,6,0,15
7,SILTEPEC,5,0,0,5
7,SIMOJOVEL,10,5,0,15
7,SOCOLTENANGO,17,10,5,32
7,SOYALO,10,1,0,11
7,SUCHIAPA,21,2,3,26
7,SUCHIATE,2,1,0,3
7,SUNUAPA,1,0,0,1
7,TAPACHULA,17,59,26,102
7,TAPILULA,0,2,0,2
7,TECPATAN,8,1,0,9
7,TEOPISCA,0,0,2,2
7,TILA,3,3,0,6
7,TONALA,202,133,16,351
