cve_edo,Municipio,PD1,PD2,PD3,Total
1,AGUASCALIENTES,34742304.23,24729753.48,579033774.94,638505832.65
1,ASIENTOS,186718.8,7363763.95,1688215.37,9238698.12
1,CALVILLO,0,6495780.98,14956869.38,21452650.36
1,COSIO,118059.7,1594939.55,6603795.83,8316795.08
1,JESUS MARIA,60725.32,9020974,26665569.87,35747269.19
1,PABELLON DE ARTEAGA,2621019.62,1772489.63,57530775.78,61924285.03
1,RINCON DE ROMOS,222676.99,5537594.84,1471794.75,7232066.58
1,SAN JOSE DE GRACIA,770350.8,308048.16,308507.88,1386906.84
1,TEPEZALA,1044819.82,4546813.82,1732065.43,7323699.07
1,EL LLANO,876000,190000,7240000,8306000
1,SAN FRANCISCO DE LOS ROMO,293894.7,2409004.14,123338711.39,126041610.23
2,ENSENADA,779839.67,65563710.18,360386965.51,426730515.36
2,MEXICALI,93465084.85,540061020.72,3144440368.69,3777966474.26
2,TECATE,0,2133719.95,22894320.64,25028040.59
2,TIJUANA,0,2778211.56,51339900,54118111.56
2,PLAYAS DE ROSARITO,0,152636.97,0,152636.97
3,LOS CABOS,4595086.76,6656147.44,7540494.06,18791728.26
3,COMONDU,10623240.37,101370808.84,64342742.62,176336791.83
3,MULEGE,29491288.99,20527026.65,55441473.2,105459788.84
3,LA PAZ,590.76,8084003.55,114718086.18,122802680.49
3,LORETO,0,1785003.81,1238060,3023063.81
4,CALKINI,13229575.74,7242849.98,1138000,21610425.72
4,CAMPECHE,105658410.74,31456643.37,93706964.88,230822018.99
4,CARMEN,7360490.85,18532190.09,41835507.02,67728187.96
4,CHAMPOTON,31842053.15,42180277.2,128838751.27,202861081.62
4,ESCARCEGA,6206052.8,39309064.56,337164.4,45852281.76
4,HECELCHAKAN,16371201.12,6572838.74,1856546.56,24800586.42
4,CANDELARIA,2641651.19,3286344.99,1047169.82,6975166
4,HOPELCHEN,16520532.1,50828317.11,41301129.53,108649978.74
4,PALIZADA,24831334.76,42526187.79,134752159.65,202109682.2
4,CALAKMUL,756945.55,480725.95,0,1237671.5
4,TENABO,2020752.97,456444.34,984480,3461677.31
7,ACACOYAGUA,4412208.11,0,0,4412208.11
7,ACALA,3586205.29,4730360.65,0,8316565.94
7,ACAPETAHUA,8034943.93,269213.41,0,8304157.34
7,AMATAN,33724.65,39242.14,0,72966.79
7,ARRIAGA,1709545.73,8898528.91,29429.59,10637504.23
7,BELLA VISTA,15188.35,0,0,15188.35
7,BERRIOZABAL,12327577.98,1633285.51,1189693.26,15150556.75
7,BOCHIL,1810883.68,1431706.98,0,3242590.66
7,EL BOSQUE,2780500,300000,0,3080500
7,CACAHOATAN,1528011.54,584783.15,99701.68,2212496.37
7,CATAZAJA,1293969.68,24451.23,0,1318420.91
7,CHAPULTENANGO,30191.62,0,0,30191.62
7,CHENALHO,9340000,0,0,9340000
7,CHIAPA DE CORZO,80255792.05,29593609.93,5968967.1,115818369.08
7,CHIAPILLA,1765984.87,65000,0,1830984.87
7,CHICOASEN,116600,752500,0,869100
7,CHICOMUSELO,8839.07,84604.27,1208352.59,1301795.93
7,CHILON,4667888.27,0,31751.84,4699640.11
7,CINTALAPA,51416684.92,4721155.73,2289041.01,58426881.66
7,COAPILLA,21301.14,0,0,21301.14
7,COMITAN DE DOMINGUEZ,22272893.65,16016182.91,20128647.02,58417723.58
7,LA CONCORDIA,40810472.27,1781265.44,12645981.37,55237719.08
7,COPAINALA,58342.33,241555.8,0,299898.13
7,ESCUINTLA,11768823.33,55000,0,11823823.33
7,FRANCISCO LEON,1714524.53,0,0,1714524.53
7,FRONTERA COMALAPA,14613394.33,1956949.5,175743.52,16746087.35
7,FRONTERA HIDALGO,17552.02,755212.5,204006.74,976771.26
7,HUEHUETAN,2552542.52,523662.88,8691263.62,11767469.02
7,HUIXTAN,84000,0,0,84000
7,HUITIUPAN,0,65000,0,65000
7,HUIXTLA,74145030.88,13110498.98,25751274.49,113006804.35
7,LA INDEPENDENCIA,8773589.51,358745,0,9132334.51
7,IXHUATAN,21109.54,265999.98,0,287109.52
7,IXTACOMITAN,22170.19,127686.38,26288.44,176145.01
7,IXTAPA,4262141.79,515500,707100,5484741.79
7,JIQUIPILAS,20619280.91,2705489.18,1939202.65,25263972.74
7,JITOTOL,3448000,20000,0,3468000
7,JUAREZ,1698321.66,3871889.22,2816145.32,8386356.2
7,LARRAINZAR,765000,0,0,765000
7,LA LIBERTAD,1783514.6,0,382063.65,2165578.25
7,MAPASTEPEC,46534952.03,2361939.39,328405.57,49225296.99
7,LAS MARGARITAS,1387506.08,189300,0,1576806.08
7,MAZATAN,3777901.54,5241871.61,5722840.67,14742613.82
7,METAPA,36497.3,0,0,36497.3
7,MOTOZINTLA,8857307.44,1143650.43,0,10000957.87
7,NICOLAS RUIZ,1667386.54,0,0,1667386.54
7,OCOSINGO,33845519.83,1237415.21,384006.86,35466941.9
7,OCOZOCOAUTLA DE ESPINOSA,18757983,11716740.15,1270429.73,31745152.88
7,OSTUACAN,5486.24,194926.29,151197.18,351609.71
7,OSUMACINTA,118142.32,68000,0,186142.32
7,PALENQUE,13287318.28,21801615.51,471338.32,35560272.11
7,PICHUCALCO,662671.13,1839762.62,327053.6,2829487.35
7,PIJIJIAPAN,2151333.01,7946695.92,1640968.73,11738997.66
7,VILLA COMALTITLAN,12541467.68,0,3722672.68,16264140.36
7,PUEBLO NUEVO SOLISTAHUACAN,1505436.99,369031.99,0,1874468.98
7,RAYON,316048.99,111000,0,427048.99
