1,AGUASCALIENTES,25736452,18218557,477769645,521724655
1,ASIENTOS,2341275,1190146,15008522,18539943
1,CALVILLO,2264949,4532168,3972505,10769622
1,COSIO,30000,435000,258544,723544
1,JESUS MARIA,110077,2034426,71966063,74110566
1,PABELLON DE ARTEAGA,0,0,27598571,27598571
1,RINCON DE ROMOS,1079973,1023804,8203874,10307651
1,SAN JOSE DE GRACIA,0,420099,0,420099
1,TEPEZALA,0,798324,4240707,5039031
1,"LLANO, EL",0,170000,0,170000
1,SAN FRANCISCO DE LOS ROMO,750312,4323175,1300000,6373487
2,ENSENADA,11706838,2035502,177208383,190950724
2,MEXICALI,63917777,186924943,884835712,1135678432
2,TECATE,0,1660000,2390000,4050000
2,TIJUANA,0,5000000,27551267,32551267
3,COMONDU,5667470,53368698,60904945,119941113
3,MULEGE,9726245,1260800,31008386,41995431
3,"PAZ, LA",2621910,4202106,90874357,97698372
3,"CABOS, LOS",5995525,8949629,16220553,31165707
3,LORETO,843535,2491825,0,3335360
4,CALKINI,378145,0,925704,1303849
4,CAMPECHE,93975938,14853761,119628089,228457788
4,CARMEN,3907828,4642178,50586797,59136802
4,CHAMPOTON,16411355,2892466,448527,19752348
4,HECELCHAKAN,2568992,813000,3332,3385324
4,HOPELCHEN,11338651,11721684,24105,23084440
4,PALIZADA,146393,3247713,29147,3423253
4,TENABO,63681,10843,0,74524
4,ESCARCEGA,8409750,1716033,3611169,13736952
4,CALAKMUL,1436224,132960,0,1569183
4,CANDELARIA,756423,765290,0,1521713
5,ABASOLO,0,0,21043,21043
5,ACUÑA,6250396,0,1629,6252025
5,ALLENDE,0,0,125016,125016
5,ARTEAGA,22073,942892,62609102,63574067
5,CANDELA,4492,0,0,4492
5,CASTAÑOS,3754554,0,1359633,5114187
5,CUATROCIENEGAS,16095,0,385251,401346
5,FRANCISCO I. MADERO,4277729,227452,18263097,22768278
5,FRONTERA,1273,0,11015521,11016794
5,GENERAL CEPEDA,102190,165083,695612,962886
5,GUERRERO,0,0,6857,6857
5,JIMENEZ,5330915,0,662644,5993559
5,MATAMOROS,17921856,1562817,346354293,365838966
5,MONCLOVA,0,0,7744862,7744862
5,MORELOS,0,0,2687,2687
5,MUZQUIZ,0,0,795848,795848
5,NADADORES,16311,125527,0,141838
5,NAVA,0,184800,4859,189659
