NOMENT,NOMMUN,CLAVE_LOC,NOMLOC,FAMILIA,RAMA1,LENG1,VARIAN1,RAMA2,TITULO,IDENTICO,TITU_DERIV,TITULO_ANT,CLASE,EXPEDIENTE,AGENCIA,NOMBRELOTE,MUNICIPIO,ESTAMU,FECHA_SOL,SUPERFICIE,TITULAR,SUST1,SUST2,SUST3,SUST4,SUST5,SUST6,SUST7,SUST8,SUST9,EXPEDICION,VIGENCIA,ISLA,OBSERVA,CONDICION,TIPO_CAN,FECHA_OF,HECTAREAS
CHIAPAS,TAPACHULA,070890151,CONGREGACION REFORMA,Maya,Quiche-mam,mam,mam del Soconusco,,236283,,,,EXPLOR.,219,109,AMPLIACION ARENA NEGRA,PIJIJIAPAN,CHIS.,11/18/2009,281300,"BLACKFIRE EXPLORATION MEXICO, S. DE R.L. DE C.V.",MAT,TSP,,,,,,,,06/03/2010,06/02/2060,,,VIGENTE,,,284181.396623
CHIAPAS,TAPACHULA,070890040,ACAXMAN,Maya,Quiche-mam,mam,mam del Soconusco,,236283,,,,EXPLOR.,219,109,AMPLIACION ARENA NEGRA,PIJIJIAPAN,CHIS.,11/18/2009,281300,"BLACKFIRE EXPLORATION MEXICO, S. DE R.L. DE C.V.",MAT,TSP,,,,,,,,06/03/2010,06/02/2060,,,VIGENTE,,,284181.396623
CHIAPAS,TAPACHULA,070890840,GUADALUPE,Maya,Quiche-mam,mam,mam del Soconusco,,236283,,,,EXPLOR.,219,109,AMPLIACION ARENA NEGRA,PIJIJIAPAN,CHIS.,11/18/2009,281300,"BLACKFIRE EXPLORATION MEXICO, S. DE R.L. DE C.V.",MAT,TSP,,,,,,,,06/03/2010,06/02/2060,,,VIGENTE,,,284181.396623
CHIAPAS,TAPACHULA,070890782,NUEVO PUMPUAPA (CERESO),Maya,Quiche-mam,mam,mam del Soconusco,,236283,,,,EXPLOR.,219,109,AMPLIACION ARENA NEGRA,PIJIJIAPAN,CHIS.,11/18/2009,281300,"BLACKFIRE EXPLORATION MEXICO, S. DE R.L. DE C.V.",MAT,TSP,,,,,,,,06/03/2010,06/02/2060,,,VIGENTE,,,284181.396623
CHIAPAS,TAPACHULA,070890499,SANTA RITA,Maya,Quiche-mam,mam,mam del Soconusco,,236283,,,,EXPLOR.,219,109,AMPLIACION ARENA NEGRA,PIJIJIAPAN,CHIS.,11/18/2009,281300,"BLACKFIRE EXPLORATION MEXICO, S. DE R.L. DE C.V.",MAT,TSP,,,,,,,,06/03/2010,06/02/2060,,,VIGENTE,,,284181.396623
CHIAPAS,TAPACHULA,070890426,DO¥A MARIA (MELCHOR OCAMPO),Maya,Quiche-mam,mam,mam del Soconusco,,236283,,,,EXPLOR.,219,109,AMPLIACION ARENA NEGRA,PIJIJIAPAN,CHIS.,11/18/2009,281300,"BLACKFIRE EXPLORATION MEXICO, S. DE R.L. DE C.V.",MAT,TSP,,,,,,,,06/03/2010,06/02/2060,,,VIGENTE,,,284181.396623
CHIAPAS,TAPACHULA,070890760,SOLO DIOS,Maya,Quiche-mam,mam,mam del Soconusco,,236283,,,,EXPLOR.,219,109,AMPLIACION ARENA NEGRA,PIJIJIAPAN,CHIS.,11/18/2009,281300,"BLACKFIRE EXPLORATION MEXICO, S. DE R.L. DE C.V.",MAT,TSP,,,,,,,,06/03/2010,06/02/2060,,,VIGENTE,,,284181.396623
CHIAPAS,HUEHUETAN,070370059,HUEHUETAN ESTACION F. F. C. C.,Maya,Quiche-mam,mam,mam del Soconusco,,236283,,,,EXPLOR.,219,109,AMPLIACION ARENA NEGRA,PIJIJIAPAN,CHIS.,11/18/2009,281300,"BLACKFIRE EXPLORATION MEXICO, S. DE R.L. DE C.V.",MAT,TSP,,,,,,,,06/03/2010,06/02/2060,,,VIGENTE,,,284181.396623
CHIAPAS,HUEHUETAN,070370141,"TRIUNFO, EL",Maya,Quiche-mam,mam,mam del Soconusco,,236283,,,,EXPLOR.,219,109,AMPLIACION ARENA NEGRA,PIJIJIAPAN,CHIS.,11/18/2009,281300,"BLACKFIRE EXPLORATION MEXICO, S. DE R.L. DE C.V.",MAT,TSP,,,,,,,,06/03/2010,06/02/2060,,,VIGENTE,,,284181.396623
CHIAPAS,HUEHUETAN,070370001,HUEHUETAN,Maya,Quiche-mam,mam,mam del Soconusco,,236283,,,,EXPLOR.,219,109,AMPLIACION ARENA NEGRA,PIJIJIAPAN,CHIS.,11/18/2009,281300,"BLACKFIRE EXPLORATION MEXICO, S. DE R.L. DE C.V.",MAT,TSP,,,,,,,,06/03/2010,06/02/2060,,,VIGENTE,,,284181.396623
