1|AGUASCALIENTES|16|50|202|268
1|ASIENTOS|3|4|8|15
1|CALVILLO|4|7|3|14
1|COSIO|1|2|1|4
1|JESUS MARIA|1|6|32|39
1|PABELLON DE ARTEAGA|0|0|24|24
1|RINCON DE ROMOS|2|3|11|16
1|SAN JOSE DE GRACIA|0|2|0|2
1|TEPEZALA|0|0|1|1
1|LLANO, EL|0|2|0|2
1|SAN FRANCISCO DE LOS ROMO|1|2|1|4
2|ENSENADA|6|8|41|55
2|MEXICALI|27|94|248|369
2|TECATE|0|2|1|3
2|TIJUANA|0|2|16|18
3|COMONDU|15|46|26|87
3|MULEGE|8|14|5|27
3|PAZ, LA|13|19|48|80
3|CABOS, LOS|12|93|9|114
3|LORETO|4|15|0|19
4|CALKINI|2|0|1|3
4|CAMPECHE|49|33|49|131
4|CARMEN|10|15|20|45
4|CHAMPOTON|19|6|2|27
4|HECELCHAKAN|4|5|0|9
4|HOPELCHEN|23|31|0|54
4|PALIZADA|0|1|0|1
4|TENABO|0|0|0|0
4|ESCARCEGA|6|11|1|18
4|CALAKMUL|0|0|0|0
4|CANDELARIA|0|2|0|2
5|ABASOLO|0|0|0|0
5|ACUÑA|5|0|0|5
5|ALLENDE|0|0|0|0
5|ARTEAGA|0|2|26|28
5|CANDELA|0|0|0|0
5|CASTAÑOS|3|0|1|4
5|CUATROCIENEGAS|0|0|1|1
5|FRANCISCO I. MADERO|3|2|14|19
5|FRONTERA|0|0|1|1
5|GENERAL CEPEDA|0|1|3|4
5|GUERRERO|0|0|0|0
5|JIMENEZ|7|0|3|10
5|MATAMOROS|3|3|49|55
5|MONCLOVA|0|0|1|1
5|MORELOS|0|0|0|0
5|MUZQUIZ|0|0|1|1
5|NADADORES|0|1|0|1
5|NAVA|0|1|0|1
5|OCAMPO|0|0|1|1
5|PARRAS|0|0|9|9
5|PIEDRAS NEGRAS|0|0|2|2
5|RAMOS ARIZPE|0|0|40|40
5|SABINAS|0|1|1|2
5|SACRAMENTO|0|0|0|0
5|SALTILLO|0|6|44|50
5|SAN BUENAVENTURA|0|0|1|1
5|SAN PEDRO|0|0|7|7
5|SIERRA MOJADA|0|0|0|0
5|TORREON|57|5|175|237
5|VIESCA|0|0|0|0
5|ZARAGOZA|0|1|4|5
6|ARMERIA|1|0|0|1
