cve_edo,Municipio,PD1,PD2,PD3,Total
1,AGUASCALIENTES,19482103.18,10046115.32,608454932.94,637983151.44
1,ASIENTOS,20000,2831674.17,2273568.64,5125242.81
1,CALVILLO,2200000,2199973.36,7901453.12,12301426.48
1,COSIO,588871.59,590000,6458734.11,7637605.7
1,JESUS MARIA,315000,14688472.32,3898153.89,18901626.21
1,PABELLON DE ARTEAGA,252629.8,4015847.74,20222621.18,24491098.72
1,RINCON DE ROMOS,525070.01,5049669.11,527735.64,6102474.76
1,SAN JOSE DE GRACIA,0,244859.69,70510.5,315370.19
1,TEPEZALA,7556,0,1532390.66,1539946.66
1,EL LLANO,0,84000,1039200,1123200
1,SAN FRANCISCO DE LOS ROMO,4889037,4213750,39737399.97,48840186.97
2,ENSENADA,10627342.34,51189679.12,311077907.77,372894929.23
2,MEXICALI,137125217.41,491102923.03,2509550684.82,3137778825.26
2,TECATE,25000,314892.65,1029057.2,1368949.85
2,TIJUANA,25000,0,34848330.9,34873330.9
2,PLAYAS DE ROSARITO,0,0,52530,52530
3,LOS CABOS,11077698.95,2115400.91,6801492.96,19994592.82
3,COMONDU,14296971.63,81571417.45,84090116.24,179958505.32
3,MULEGE,34617358.53,11320763.19,23359579.67,69297701.39
3,LA PAZ,9574980.61,10176187.06,140066403.22,159817570.89
3,LORETO,67968.81,978343.54,834554.62,1880866.97
4,CALKINI,29424911.02,6335859.94,1824999.93,37585770.89
4,CAMPECHE,144172441.56,28465779.02,81221151.72,253859372.3
4,CARMEN,5829282.25,14512135.3,81959487.89,102300905.44
4,CHAMPOTON,27629445.99,9228416.08,67578807.29,104436669.36
4,ESCARCEGA,13422970.23,7581209.96,2240504.76,23244684.95
4,HECELCHAKAN,13013365.83,5276583.2,5737571.88,24027520.91
4,CANDELARIA,7166723.9,2861952.8,1817141.35,11845818.05
4,HOPELCHEN,42801008.71,55025540.53,40692841.14,138519390.38
4,PALIZADA,1284850.31,44538093.22,86486261.23,132309204.76
4,CALAKMUL,281261.7,272976.36,344114.06,898352.12
4,TENABO,4557491.39,1574704.96,690020.08,6822216.43
7,ACACOYAGUA,1629025.65,149999.89,0,1779025.54
7,ACALA,5220859.44,5343542.61,264471,10828873.05
